date,FXEURCAD,FXUSDCAD
2019-05-08,1.5077,1.3466
2019-05-09,1.5127,1.3483
2019-05-10,1.5079,1.3418
2019-05-13,1.5128,1.3457
2019-05-14,1.5100,1.3469
2019-05-15,1.5065,1.3451
2019-05-16,1.5026,1.3439
2019-05-17,1.5038,1.3468
2019-05-21,1.4967,1.3413
2019-05-22,1.4966,1.3410
2019-05-23,1.5043,1.3478
2019-05-24,1.5064,1.3447
2019-05-27,1.5049,1.3442
2019-05-28,1.5063,1.3477
2019-05-29,1.5054,1.3514
2019-05-30,1.5031,1.3501
2019-05-31,1.5098,1.3527
2019-06-03,1.5110,1.3470
2019-06-04,1.5085,1.3414
2019-06-05,1.5076,1.3401
2019-06-06,1.5091,1.3378
2019-06-07,1.5049,1.3283
2019-06-10,1.5007,1.3267
2019-06-11,1.5034,1.3278
2019-06-12,1.5042,1.3303
2019-06-13,1.5027,1.3324
2019-06-14,1.5023,1.3385
2019-06-17,1.5056,1.3407
2019-06-18,1.4994,1.3394
2019-06-19,1.4968,1.3343
2019-06-20,1.4897,1.3191
2019-06-21,1.4981,1.3212
2019-06-24,1.5029,1.3194
2019-06-25,1.4993,1.3174
2019-06-26,1.4931,1.3130
2019-06-27,1.4904,1.3111
2019-06-28,1.4887,1.3087
2019-07-02,1.4816,1.3114
2019-07-03,1.4751,1.3073
2019-07-04,1.4733,1.3059
2019-07-05,1.4702,1.3099
2019-07-08,1.4671,1.3081
2019-07-09,1.4712,1.3127
2019-07-10,1.4728,1.3092
2019-07-11,1.4717,1.3071
2019-07-12,1.4679,1.3038
2019-07-15,1.4683,1.3039
2019-07-16,1.4636,1.3052
2019-07-17,1.4649,1.3053
2019-07-18,1.4679,1.3069
2019-07-19,1.4670,1.3071
2019-07-22,1.4697,1.3103
2019-07-23,1.4661,1.3142
2019-07-24,1.4638,1.3137
2019-07-25,1.4657,1.3146
2019-07-26,1.4668,1.3182
2019-07-29,1.4653,1.3159
2019-07-30,1.4683,1.3168
2019-07-31,1.4627,1.3148
2019-08-01,1.4621,1.3217
2019-08-02,1.4686,1.3225
2019-08-06,1.4832,1.3253
2019-08-07,1.4946,1.3322
2019-08-08,1.4848,1.3257
2019-08-09,1.4814,1.3221
2019-08-12,1.4839,1.3234
2019-08-13,1.4808,1.3236
2019-08-14,1.4842,1.3311
2019-08-15,1.4808,1.3325
2019-08-16,1.4731,1.3286
2019-08-19,1.4753,1.3298
2019-08-20,1.4777,1.3323
2019-08-21,1.4734,1.3278
2019-08-22,1.4734,1.3293
2019-08-23,1.4794,1.3310
2019-08-26,1.4753,1.3279
2019-08-27,1.4721,1.3267
2019-08-28,1.4739,1.3301
2019-08-29,1.4706,1.3296
2019-08-30,1.4629,1.3295
2019-09-03,1.4626,1.3343
2019-09-04,1.4622,1.3263
2019-09-05,1.4614,1.3228
2019-09-06,1.4543,1.3174
2019-09-09,1.4541,1.3155
2019-09-10,1.4522,1.3153
2019-09-11,1.4503,1.3181
2019-09-12,1.4579,1.3205
2019-09-13,1.4684,1.3257
2019-09-16,1.4585,1.3248
2019-09-17,1.4655,1.3257
2019-09-18,1.4669,1.3271
2019-09-19,1.4657,1.3259
2019-09-20,1.4622,1.3275
2019-09-23,1.4584,1.3270
2019-09-24,1.4584,1.3249
2019-09-25,1.4542,1.3270
2019-09-26,1.4503,1.3260
2019-09-27,1.4496,1.3249
2019-09-30,1.4438,1.3243
2019-10-01,1.4464,1.3244
2019-10-02,1.4556,1.3294
2019-10-03,1.4632,1.3330
2019-10-04,1.4619,1.3317
2019-10-07,1.4616,1.3306
2019-10-08,1.4603,1.3323
2019-10-09,1.4626,1.3324
2019-10-10,1.4644,1.3294
2019-10-11,1.4577,1.3198
2019-10-15,1.4560,1.3211
2019-10-16,1.4603,1.3201
2019-10-17,1.4618,1.3143
2019-10-18,1.4644,1.3132
2019-10-21,1.4606,1.3096
2019-10-22,1.4581,1.3094
2019-10-23,1.4555,1.3086
2019-10-24,1.4529,1.3075
2019-10-25,1.4483,1.3064
2019-10-28,1.4487,1.3056
2019-10-29,1.4520,1.3075
2019-10-30,1.4622,1.3152
2019-10-31,1.4671,1.3160
2019-11-01,1.4683,1.3157
2019-11-04,1.4652,1.3148
2019-11-05,1.4570,1.3153
2019-11-06,1.4596,1.3179
2019-11-07,1.4563,1.3176
2019-11-08,1.4576,1.3223
2019-11-12,1.4569,1.3228
2019-11-13,1.4580,1.3249
2019-11-14,1.4599,1.3258
2019-11-15,1.4618,1.3231
2019-11-18,1.4633,1.3214
2019-11-19,1.4665,1.3237
2019-11-20,1.4723,1.3304
2019-11-21,1.4703,1.3285
2019-11-22,1.4661,1.3287
2019-11-25,1.4652,1.3307
2019-11-26,1.4641,1.3288
2019-11-27,1.4608,1.3278
2019-11-28,1.4623,1.3285
2019-11-29,1.4633,1.3289
2019-12-02,1.4715,1.3297
2019-12-03,1.4742,1.3302
2019-12-04,1.4655,1.3223
2019-12-05,1.4622,1.3174
2019-12-06,1.4658,1.3255
2019-12-09,1.4648,1.3235
2019-12-10,1.4672,1.3233
2019-12-11,1.4652,1.3201
2019-12-12,1.4660,1.3182
2019-12-13,1.4678,1.3183
2019-12-16,1.4647,1.3142
2019-12-17,1.4677,1.3160
2019-12-18,1.4586,1.3119
2019-12-19,1.4594,1.3122
2019-12-20,1.4584,1.3164
2019-12-23,1.4592,1.3160
2019-12-24,1.4584,1.3157
2019-12-27,1.4611,1.3078
2019-12-30,1.4631,1.3059
2019-12-31,1.4583,1.2988
2020-01-02,1.4520,1.2992
2020-01-03,1.4497,1.2988
2020-01-06,1.4515,1.2970
2020-01-07,1.4502,1.3009
2020-01-08,1.4480,1.3026
2020-01-09,1.4526,1.3079
2020-01-10,1.4504,1.3051
2020-01-13,1.4528,1.3048
2020-01-14,1.4530,1.3062
2020-01-15,1.4554,1.3050
2020-01-16,1.4532,1.3045
2020-01-17,1.4493,1.3062
2020-01-20,1.4471,1.3053
2020-01-21,1.4502,1.3067
2020-01-22,1.4541,1.3116
2020-01-23,1.4533,1.3143
2020-01-24,1.4493,1.3140
2020-01-27,1.4525,1.3182
2020-01-28,1.4509,1.3179
2020-01-29,1.4520,1.3196
2020-01-30,1.4579,1.3217
2020-01-31,1.4653,1.3233
2020-02-03,1.4681,1.3275
2020-02-04,1.4662,1.3278
2020-02-05,1.4622,1.3289
2020-02-06,1.4596,1.3290
2020-02-07,1.4574,1.3305
2020-02-10,1.4548,1.3319
2020-02-11,1.4510,1.3292
2020-02-12,1.4431,1.3254
2020-02-13,1.4378,1.3256
2020-02-14,1.4368,1.3249
2020-02-18,1.4326,1.3258
2020-02-19,1.4282,1.3231
2020-02-20,1.4312,1.3254
2020-02-21,1.4341,1.3224
2020-02-24,1.4407,1.3279
2020-02-25,1.4431,1.3281
2020-02-26,1.4476,1.3307
2020-02-27,1.4672,1.3361
2020-02-28,1.4766,1.3429
2020-03-02,1.4890,1.3356
2020-03-03,1.4912,1.3363
2020-03-04,1.4902,1.3392
2020-03-05,1.5021,1.3415
2020-03-06,1.5187,1.3421
2020-03-09,1.5559,1.3598
2020-03-10,1.5571,1.3731
2020-03-11,1.5531,1.3745
2020-03-12,1.5440,1.3820
2020-03-13,1.5430,1.3901
2020-03-16,1.5574,1.3964
2020-03-17,1.5574,1.4175
2020-03-18,1.5772,1.4496
2020-03-19,1.5555,1.4495
2020-03-20,1.5327,1.4332
2020-03-23,1.5584,1.4482
2020-03-24,1.5634,1.4491
2020-03-25,1.5495,1.4302
2020-03-26,1.5487,1.4077
2020-03-27,1.5525,1.4056
2020-03-30,1.5613,1.4156
2020-03-31,1.5584,1.4187
2020-04-01,1.5538,1.4217
2020-04-02,1.5396,1.4179
2020-04-03,1.5267,1.4142
2020-04-06,1.5251,1.4127
2020-04-07,1.5245,1.3986
2020-04-08,1.5254,1.4034
2020-04-09,1.5277,1.3985
